id,mcc,mnc,lac,cellid,lat,lon,range_meters,radio,samples,avg_signal,changeable,rnc,cid,tac,pci,area_name,scraped_at,operator,distance_km_to_up8,bearing_deg_from_up8,estimated_bands
124,722,7,2461,237134850,-33.024,-60.755,1000,LTE,1,0,True,0,0,2461,,pinero,2025-12-25 23:22:07.417839+00:00,Movistar,8.736,29.0,B28 (700); B4 (AWS); B7 (2600)
100,722,34,492,2665715,-33.053,-60.882,3853,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.786,300.1,B5 (850); B1 (2100)
140,722,34,491,2665711,-33.015,-60.819,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.811,348.7,B5 (850); B1 (2100)
145,722,34,496,2665714,-33.015,-60.82,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.83,348.1,B5 (850); B1 (2100)
12,722,34,496,2625456,-33.151,-60.865,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.839,222.8,B5 (850); B1 (2100)
143,722,34,496,2621942,-33.015,-60.821,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.85,347.5,B5 (850); B1 (2100)
144,722,34,496,2626003,-33.015,-60.821,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.85,347.5,B5 (850); B1 (2100)
147,722,34,492,2665711,-33.014,-60.816,1686,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.87,350.6,B5 (850); B1 (2100)
141,722,310,12595,23277611,-33.015,-60.822,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,8.87,346.9,B5 (850); B1 (2100)
142,722,310,12595,23313181,-33.015,-60.822,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,8.87,346.9,B5 (850); B1 (2100)
101,722,34,407,20238,-33.05,-60.881,1000,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.88,302.3,B5 (850); B2 (1900)
102,722,34,407,50238,-33.05,-60.881,1205,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.88,302.3,B5 (850); B2 (1900)
150,722,34,10491,10299394,-33.013,-60.808,1000,LTE,1,0,True,0,0,10491,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.89,355.5,B28 (700); B4 (AWS); B7 (2600)
149,722,310,12595,23283181,-33.013,-60.81,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,8.907,354.3,B5 (850); B1 (2100)
148,722,310,12595,23287669,-33.013,-60.81,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,8.907,354.3,B5 (850); B1 (2100)
137,722,34,496,2665711,-33.017,-60.832,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.916,340.7,B5 (850); B1 (2100)
136,722,34,10492,10349312,-33.018,-60.836,1000,LTE,1,0,True,0,0,10492,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.942,338.3,B28 (700); B4 (AWS); B7 (2600)
154,722,34,491,2626002,-33.02,-60.759,2371,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.961,25.6,B5 (850); B1 (2100)
151,722,310,13106,23297542,-33.012,-60.802,2186,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,8.975,359.1,B5 (850); B1 (2100)
138,722,34,492,2665717,-33.016,-60.831,1567,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,8.991,341.5,B5 (850); B1 (2100)
135,722,310,12595,23313116,-33.019,-60.842,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,9.063,334.7,B5 (850); B1 (2100)
146,722,34,492,2621837,-33.014,-60.829,2679,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,9.146,343.1,B5 (850); B1 (2100)
114,722,34,492,2665712,-33.032,-60.867,5116,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,9.165,317.4,B5 (850); B1 (2100)
152,722,34,10481,10307330,-33.01,-60.799,1000,LTE,1,0,True,0,0,10481,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,9.197,0.9,B28 (700); B4 (AWS); B7 (2600)
11,722,34,407,30050,-33.153,-60.869,3120,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,9.256,223.6,B5 (850); B2 (1900)
156,722,34,491,2626005,-33.021,-60.75,5881,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,9.257,30.6,B5 (850); B1 (2100)
