object_name,rf_material,epsilon_r,sigma_S_m,thickness_m
pabA_1_wE_PB_6,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_6.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_6_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_6_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_7,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_7.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_7_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_7_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_8,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_8.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_8_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_8_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_9,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_9.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_9_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PB_9_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_0,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_0.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_0_B,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_0_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_1,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_1.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_10,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_10.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_10_B,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_10_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_11,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_11.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_11_B,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_11_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_1_B,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_1_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_2,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_2.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_2_B,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_2_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_3,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_3.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_3_B,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_3_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_4,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_4.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_4_B,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_4_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_5,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_5.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_5_B,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_5_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wW_PA_6,concrete,5.31,0.0326,0.25
