id,mcc,mnc,lac,cellid,lat,lon,range_meters,radio,samples,avg_signal,changeable,rnc,cid,tac,pci,area_name,scraped_at,operator,distance_km_to_up9,bearing_deg_from_up9,estimated_bands
194,722,7,2731,8336142,-31.567,-60.74,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,6.557,194.4,B5 (850); B1 (2100)
195,722,310,13201,20176917,-31.567,-60.74,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.557,194.4,B5 (850); B1 (2100)
401,722,310,13204,24492385,-31.548,-60.67,7848,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.558,130.3,B5 (850); B1 (2100)
239,722,34,10770,17963011,-31.569,-60.723,2970,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.573,180.2,B28 (700); B4 (AWS); B7 (2600)
196,722,7,2731,8336141,-31.567,-60.741,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,6.581,195.2,B5 (850); B1 (2100)
192,722,310,3224,63999,-31.569,-60.731,2044,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.619,186.7,B5 (850); B2 (1900)
261,722,34,794,6889146,-31.563,-60.755,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.648,207.3,B5 (850); B1 (2100)
193,722,7,2731,8336145,-31.568,-60.74,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,6.664,194.1,B5 (850); B1 (2100)
237,722,34,10770,17963269,-31.57,-60.723,3004,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,6.684,180.2,B28 (700); B4 (AWS); B7 (2600)
177,722,310,13204,24467633,-31.565,-60.751,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,6.686,203.5,B5 (850); B1 (2100)
